POST /gym/attendance/check-in -> PERMISSIONS.GYM.ATTENDANCE.MARK (Module: attendance, Controller: GymAttendanceController)
POST /gym/attendance/check-out -> PERMISSIONS.GYM.ATTENDANCE.MARK (Module: attendance, Controller: GymAttendanceController)
GET /gym/attendance/today -> PERMISSIONS.GYM.ATTENDANCE.VIEW (Module: attendance, Controller: GymAttendanceController)
GET /gym/attendance/status-by-phone/:phone -> PERMISSIONS.GYM.ATTENDANCE.VIEW (Module: attendance, Controller: GymAttendanceController)
POST /gym/attendance/qr/check -> UNPROTECTED (Module: attendance, Controller: GymAttendanceController)
POST /gym/attendance/kiosk/check/:tenantId -> PUBLIC (Module: attendance, Controller: GymAttendanceController)
POST /gym/attendance/staff/check -> PERMISSIONS.GYM.ATTENDANCE.MARK (Module: attendance, Controller: GymAttendanceController)
GET /gym/attendance/today-count -> PERMISSIONS.GYM.ATTENDANCE.VIEW (Module: attendance, Controller: GymAttendanceController)
GET /gym/attendance/inside-count -> PERMISSIONS.GYM.ATTENDANCE.VIEW (Module: attendance, Controller: GymAttendanceController)
GET /gym/attendance/member/:memberId/recent -> PERMISSIONS.GYM.ATTENDANCE.VIEW (Module: attendance, Controller: GymAttendanceController)
GET /gym/attendance/inside-members -> PERMISSIONS.GYM.ATTENDANCE.VIEW (Module: attendance, Controller: GymAttendanceController)
GET /gym/dashboard/owner -> PERMISSIONS.CORE.DASHBOARD.VIEW (Module: dashboard, Controller: GymDashboardController)
GET /gym/dashboard/revenue-chart -> PERMISSIONS.CORE.DASHBOARD.VIEW (Module: dashboard, Controller: GymDashboardController)
GET /gym/dashboard/attendance-heatmap -> PERMISSIONS.CORE.DASHBOARD.VIEW (Module: dashboard, Controller: GymDashboardController)
POST /gym/members -> PERMISSIONS.GYM.MEMBER.CREATE (Module: member, Controller: GymMembersController)
GET /gym/members/renewal-due -> PERMISSIONS.GYM.MEMBER.VIEW (Module: member, Controller: GymMembersController)
GET /gym/members/payment-due -> PERMISSIONS.GYM.MEMBER.VIEW (Module: member, Controller: GymMembersController)
GET /gym/members/expiring-soon -> PERMISSIONS.GYM.MEMBER.VIEW (Module: member, Controller: GymMembersController)
DELETE /gym/members/:id -> PERMISSIONS.GYM.MEMBER.EDIT (Module: member, Controller: GymMembersController)
GET /gym/members -> PERMISSIONS.GYM.MEMBER.VIEW (Module: member, Controller: GymMembersController)
PATCH /gym/members/:id/owner-edit -> PERMISSIONS.GYM.MEMBER.EDIT (Module: member, Controller: GymMembersController)
PATCH /gym/members/:id -> PERMISSIONS.GYM.MEMBER.EDIT (Module: member, Controller: GymMembersController)
POST /gym/members/:id/renew -> PERMISSIONS.GYM.MEMBER.EDIT (Module: member, Controller: GymMembersController)
GET /gym/members/summary -> PERMISSIONS.GYM.MEMBER.VIEW (Module: member, Controller: GymMembersController)
GET /gym/members/:id/payments -> PERMISSIONS.GYM.MEMBER.VIEW (Module: member, Controller: GymMembersController)
GET /gym/members/expired-today -> PERMISSIONS.GYM.MEMBER.VIEW (Module: member, Controller: GymMembersController)
GET /gym/members/payment-pending -> PERMISSIONS.GYM.MEMBER.VIEW (Module: member, Controller: GymMembersController)
GET /gym/members/search -> PERMISSIONS.GYM.MEMBER.VIEW (Module: member, Controller: GymMembersController)
POST /gym/members/collect-payment -> PERMISSIONS.GYM.PAYMENT.COLLECT (Module: member, Controller: GymMembersController)
GET /gym/members/:id -> PERMISSIONS.GYM.MEMBER.VIEW (Module: member, Controller: GymMembersController)
POST /gym/memberships -> PERMISSIONS.GYM.MEMBERSHIP.CREATE (Module: membership, Controller: GymMembershipController)
GET /gym/memberships/expiring -> PERMISSIONS.GYM.MEMBERSHIP.VIEW (Module: membership, Controller: GymMembershipController)
POST /gym/payments/receive -> PERMISSIONS.GYM.PAYMENT.COLLECT (Module: payment, Controller: PaymentsController)
GET /gym/payments -> PERMISSIONS.GYM.PAYMENT.VIEW (Module: payment, Controller: PaymentsController)
GET /gym/payments/history -> UNPROTECTED (Module: payment, Controller: PaymentsController)
POST /public/checkin/lookup -> UNPROTECTED (Module: none, Controller: PublicCheckinController)
POST /public/checkin/confirm -> UNPROTECTED (Module: none, Controller: PublicCheckinController)
GET /app/version -> PUBLIC (Module: system, Controller: AppController)
POST /ledger/customers -> PERMISSIONS.MOBILE_SHOP.CUSTOMER.CREATE (Module: ledger, Controller: LedgerController)
POST /ledger/accounts -> PERMISSIONS.MOBILE_SHOP.LEDGER.MANAGE (Module: ledger, Controller: LedgerController)
GET /ledger/customers/search -> PERMISSIONS.MOBILE_SHOP.CUSTOMER.VIEW (Module: ledger, Controller: LedgerController)
GET /ledger/accounts/:ledgerId/collect -> PERMISSIONS.MOBILE_SHOP.LEDGER.COLLECT (Module: ledger, Controller: LedgerController)
POST /ledger/collections/collect -> PERMISSIONS.MOBILE_SHOP.LEDGER.COLLECT (Module: ledger, Controller: LedgerController)
GET /ledger/customers/:customerId/profile -> PERMISSIONS.MOBILE_SHOP.CUSTOMER.VIEW (Module: ledger, Controller: LedgerController)
POST /mobileshop/b2b/onboard-distributor -> PERMISSIONS.MOBILE_SHOP.B2B.ONBOARD (Module: b2b, Controller: B2BController)
GET /mobileshop/b2b/catalog -> PERMISSIONS.MOBILE_SHOP.B2B.VIEW_CATALOG (Module: b2b, Controller: B2BController)
POST /mobileshop/b2b/link/:distributorId -> PERMISSIONS.MOBILE_SHOP.B2B.LINK_DISTRIBUTOR (Module: b2b, Controller: B2BController)
POST /mobileshop/b2b/order -> PERMISSIONS.MOBILE_SHOP.B2B.PLACE_ORDER (Module: b2b, Controller: B2BController)
GET /admin/compatibility/stats -> PERMISSIONS.MOBILE_SHOP.COMPATIBILITY.VIEW (Module: compatibility, Controller: CompatibilityAdminController)
POST /admin/compatibility/models -> PERMISSIONS.MOBILE_SHOP.COMPATIBILITY.MANAGE (Module: compatibility, Controller: CompatibilityAdminController)
POST /admin/compatibility/link-smart -> PERMISSIONS.MOBILE_SHOP.COMPATIBILITY.MANAGE (Module: compatibility, Controller: CompatibilityAdminController)
POST /admin/compatibility/unlink -> UNPROTECTED (Module: compatibility, Controller: CompatibilityAdminController)
GET /admin/compatibility/feedback -> PERMISSIONS.MOBILE_SHOP.COMPATIBILITY.MANAGE (Module: compatibility, Controller: CompatibilityAdminController)
POST /admin/compatibility/feedback/:id/process -> PERMISSIONS.MOBILE_SHOP.COMPATIBILITY.VIEW (Module: compatibility, Controller: CompatibilityAdminController)
GET /compatibility/search -> PUBLIC (Module: compatibility, Controller: CompatibilityController)
POST /compatibility/groups -> PERMISSIONS.MOBILE_SHOP.COMPATIBILITY.MANAGE (Module: compatibility, Controller: CompatibilityController)
POST /compatibility/groups/:id/add-phone -> PERMISSIONS.MOBILE_SHOP.COMPATIBILITY.MANAGE (Module: compatibility, Controller: CompatibilityController)
POST /compatibility/groups/:id/link-part -> PERMISSIONS.MOBILE_SHOP.COMPATIBILITY.MANAGE (Module: compatibility, Controller: CompatibilityController)
POST /compatibility/suggest -> PERMISSIONS.MOBILE_SHOP.COMPATIBILITY.VIEW (Module: compatibility, Controller: CompatibilityController)
GET /compatibility/autocomplete -> PUBLIC (Module: compatibility, Controller: CompatibilityController)
POST /compatibility/feedback -> PERMISSIONS.MOBILE_SHOP.COMPATIBILITY.VIEW (Module: compatibility, Controller: CompatibilityController)
GET /mobileshop/shops/:shopId/credit-notes -> PERMISSIONS.MOBILE_SHOP.CREDIT_NOTE.VIEW (Module: credit_note, Controller: CreditNotesController)
GET /mobileshop/shops/:shopId/credit-notes/:id -> PERMISSIONS.MOBILE_SHOP.CREDIT_NOTE.VIEW (Module: credit_note, Controller: CreditNotesController)
POST /mobileshop/shops/:shopId/credit-notes -> PERMISSIONS.MOBILE_SHOP.CREDIT_NOTE.CREATE (Module: credit_note, Controller: CreditNotesController)
POST /mobileshop/shops/:shopId/credit-notes/:id/issue -> PERMISSIONS.MOBILE_SHOP.CREDIT_NOTE.ISSUE (Module: credit_note, Controller: CreditNotesController)
POST /mobileshop/shops/:shopId/credit-notes/:id/apply -> PERMISSIONS.MOBILE_SHOP.CREDIT_NOTE.APPLY (Module: credit_note, Controller: CreditNotesController)
POST /mobileshop/shops/:shopId/credit-notes/:id/refund -> PERMISSIONS.MOBILE_SHOP.CREDIT_NOTE.REFUND (Module: credit_note, Controller: CreditNotesController)
POST /mobileshop/shops/:shopId/credit-notes/:id/void -> PERMISSIONS.MOBILE_SHOP.CREDIT_NOTE.VOID (Module: credit_note, Controller: CreditNotesController)
GET /mobileshop/crm/follow-ups -> PERMISSIONS.MOBILE_SHOP.CRM.MANAGE_FOLLOWUP (Module: crm, Controller: MobileShopCrmController)
GET /mobileshop/crm/follow-ups/counts -> PERMISSIONS.MOBILE_SHOP.CRM.VIEW (Module: crm, Controller: MobileShopCrmController)
POST /mobileshop/crm/follow-ups -> PERMISSIONS.MOBILE_SHOP.CRM.MANAGE_FOLLOWUP (Module: crm, Controller: MobileShopCrmController)
PATCH /mobileshop/crm/follow-ups/:followUpId/status -> PERMISSIONS.MOBILE_SHOP.CRM.MANAGE_FOLLOWUP (Module: crm, Controller: MobileShopCrmController)
GET /mobileshop/crm/dashboard -> PERMISSIONS.MOBILE_SHOP.CRM.VIEW (Module: crm, Controller: MobileShopCrmController)
GET /mobileshop/crm/customer-timeline/:customerId -> PERMISSIONS.MOBILE_SHOP.CRM.VIEW_TIMELINE (Module: crm, Controller: MobileShopCrmController)
POST /mobileshop/crm/whatsapp/send -> PERMISSIONS.MOBILE_SHOP.CRM.SEND_WHATSAPP (Module: crm, Controller: MobileShopCrmController)
GET /mobileshop/crm/health -> PUBLIC (Module: crm, Controller: MobileShopCrmController)
GET /mobileshop/dashboard/owner -> PERMISSIONS.CORE.DASHBOARD.VIEW (Module: dashboard, Controller: MobileShopDashboardController)
GET /mobileshop/dashboard/shop-breakdown -> PERMISSIONS.CORE.DASHBOARD.VIEW (Module: dashboard, Controller: MobileShopDashboardController)
GET /mobileshop/dashboard/staff -> PERMISSIONS.CORE.DASHBOARD.VIEW (Module: dashboard, Controller: StaffDashboardController)
POST /mobileshop/shops/:shopId/job-cards -> UNPROTECTED (Module: jobcard, Controller: JobCardsController)
GET /mobileshop/shops/:shopId/job-cards -> PERMISSIONS.MOBILE_SHOP.JOBCARD.CREATE (Module: jobcard, Controller: JobCardsController)
GET /mobileshop/shops/:shopId/job-cards/:id -> UNPROTECTED (Module: jobcard, Controller: JobCardsController)
PATCH /mobileshop/shops/:shopId/job-cards/:id -> PERMISSIONS.MOBILE_SHOP.JOBCARD.VIEW (Module: jobcard, Controller: JobCardsController)
PATCH /mobileshop/shops/:shopId/job-cards/:id/status -> PERMISSIONS.MOBILE_SHOP.JOBCARD.UPDATE (Module: jobcard, Controller: JobCardsController)
DELETE /mobileshop/shops/:shopId/job-cards/:id -> UNPROTECTED (Module: jobcard, Controller: JobCardsController)
POST /mobileshop/shops/:shopId/job-cards/:id/parts -> UNPROTECTED (Module: jobcard, Controller: JobCardsController)
DELETE /mobileshop/shops/:shopId/job-cards/:id/parts/:partId -> PERMISSIONS.MOBILE_SHOP.JOBCARD.ADD_PART (Module: jobcard, Controller: JobCardsController)
POST /mobileshop/shops/:shopId/job-cards/:id/cancel -> PERMISSIONS.MOBILE_SHOP.JOBCARD.REMOVE_PART (Module: jobcard, Controller: JobCardsController)
PATCH /mobileshop/shops/:shopId/job-cards/:id/service-charge -> UNPROTECTED (Module: jobcard, Controller: JobCardsController)
POST /mobileshop/shops/:shopId/job-cards/:id/advance -> UNPROTECTED (Module: jobcard, Controller: JobCardsController)
POST /mobileshop/shops/:shopId/job-cards/:id/advance/refund -> UNPROTECTED (Module: jobcard, Controller: JobCardsController)
PATCH /mobileshop/shops/:shopId/job-cards/:id/reopen -> UNPROTECTED (Module: jobcard, Controller: JobCardsController)
POST /mobileshop/shops/:shopId/job-cards/:id/warranty -> PERMISSIONS.MOBILE_SHOP.JOBCARD.REOPEN (Module: jobcard, Controller: JobCardsController)
POST /mobileshop/shops/:shopId/job-cards/:id/consent -> UNPROTECTED (Module: jobcard, Controller: JobCardsController)
GET /public/job/:publicToken -> UNPROTECTED (Module: none, Controller: PublicJobController)
GET /mobileshop/shops/:shopId/quotations -> PERMISSIONS.MOBILE_SHOP.QUOTATION.VIEW (Module: quotation, Controller: QuotationsController)
GET /mobileshop/shops/:shopId/quotations/:id -> PERMISSIONS.MOBILE_SHOP.QUOTATION.VIEW (Module: quotation, Controller: QuotationsController)
POST /mobileshop/shops/:shopId/quotations -> PERMISSIONS.MOBILE_SHOP.QUOTATION.CREATE (Module: quotation, Controller: QuotationsController)
PATCH /mobileshop/shops/:shopId/quotations/:id -> PERMISSIONS.MOBILE_SHOP.QUOTATION.UPDATE (Module: quotation, Controller: QuotationsController)
POST /mobileshop/shops/:shopId/quotations/:id/status -> PERMISSIONS.MOBILE_SHOP.QUOTATION.UPDATE (Module: quotation, Controller: QuotationsController)
POST /mobileshop/shops/:shopId/quotations/:id/convert -> PERMISSIONS.MOBILE_SHOP.QUOTATION.CONVERT (Module: quotation, Controller: QuotationsController)
DELETE /mobileshop/shops/:shopId/quotations/:id -> PERMISSIONS.MOBILE_SHOP.QUOTATION.DELETE (Module: quotation, Controller: QuotationsController)
POST /receipts -> PERMISSIONS.MOBILE_SHOP.RECEIPT.CREATE (Module: receipt, Controller: ReceiptsController)
GET /receipts -> PERMISSIONS.MOBILE_SHOP.RECEIPT.VIEW (Module: receipt, Controller: ReceiptsController)
GET /receipts/:id -> PERMISSIONS.MOBILE_SHOP.RECEIPT.VIEW (Module: receipt, Controller: ReceiptsController)
POST /receipts/:id/cancel -> PERMISSIONS.MOBILE_SHOP.RECEIPT.CANCEL (Module: receipt, Controller: ReceiptsController)
GET /receipts/summary -> PERMISSIONS.MOBILE_SHOP.RECEIPT.VIEW (Module: receipt, Controller: ReceiptsController)
POST /mobileshop/repairs/out -> PERMISSIONS.MOBILE_SHOP.REPAIR.STOCK_OUT (Module: repair, Controller: RepairController)
POST /mobileshop/repairs/:jobCardId/bill -> PERMISSIONS.MOBILE_SHOP.REPAIR.BILL (Module: repair, Controller: RepairController)
GET /mobileshop/reports/dashboard -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/sales/summary -> PERMISSIONS.CORE.REPORT.VIEW (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/sales -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/purchases/summary -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/purchases -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/inventory/summary -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/inventory -> PERMISSIONS.CORE.REPORT.INVENTORY_VIEW (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/profit/summary -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/profit -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/top-products -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/repairs -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/repair-metrics -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
